Id,Section,Page,ItemType,Question,Option,Characteristic,Required,EnableWhen,HasHelper,HelperType,HelperName,HelperValue,
ryu1c7DD3pohSQDTRJ5I,Who I Am,Personal Details,age,,,,FALSE,,FALSE,,,,
0kvGLfVXnRhe195qlGVK,Who I Am,Personal Details,radio,Confirm that your parent or guardian if with you  or is going to check the information later.,No,patient_has_no_parent_or_guardian_confirmation,TRUE,(patient_age<16) AND(patient_ageexistsnull),FALSE,,,,
0kvGLfVXnRhe195qlGVK,Who I Am,Personal Details,radio,Confirm that your parent or guardian if with you  or is going to check the information later.,Yes,patient_has_parent_or_guardian_confirmation,TRUE,(patient_age<16) AND(patient_ageexistsnull),FALSE,,,,
wSJAsMOy7ksSwNrW3dVY,Who I Am,Personal Details,radio,Have you had somebody to help you complete MyPreOp®?,No,patient_had_no_help_to_complete-mypreop,TRUE,(patient_has_parent_or_guardian_confirmation=false),FALSE,,,,
wSJAsMOy7ksSwNrW3dVY,Who I Am,Personal Details,radio,Have you had somebody to help you complete MyPreOp®?,Yes,patient_had_help_to_complete-mypreop,TRUE,(patient_has_parent_or_guardian_confirmation=false),FALSE,,,,
DCKyddkVJUCsPHHxSiS4,Who I Am,Personal Details,radio,Is English your preferred language?,No,patient_has_preferred_language-not_english,TRUE,,FALSE,,,,
DCKyddkVJUCsPHHxSiS4,Who I Am,Personal Details,radio,Is English your preferred language?,Yes,patient_has_preferred_language-english,TRUE,,FALSE,,,,
ENqq2uB7lSihKulRbn7p,Who I Am,Personal Details,text-field,MyPreOp® is currently not available in other languages. What would be your preferred language?,,patients_preferred_language,TRUE,(patient_has_preferred_language-english=false),TRUE,contentBlock,RCoA - Translated documents,"<p>The Royal College of Anaesthetists has worked with Translators without Borders to provide a selection of their patient information leaflets in various languages.  <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://rcoa.ac.uk/patient-information/patient-information-resources/translations"">Click here</a> to see if there are any resources available in your preferred language. </p>""",
d6zb8D3l2or5ScxIqHHQ,Who I Am,Personal Details,radio,Will you need an interpreter (in person or by phone) to be available to help you when you come to the hospital?,No,patient_has_preferred_language-no_interpreter_needed,FALSE,(patient_has_preferred_language-english=false),FALSE,,,,
d6zb8D3l2or5ScxIqHHQ,Who I Am,Personal Details,radio,Will you need an interpreter (in person or by phone) to be available to help you when you come to the hospital?,Yes,patient_has_preferred_language-interpreter_needed,FALSE,(patient_has_preferred_language-english=false),FALSE,,,,
5lWP6IPcMUemXrkFrzDB,Who I Am,Contact Details,phone-number,Enter your mobile phone number so that the hospital can contact you if they need to.,,patients_mobile_number,FALSE,,FALSE,,,,
W4joZC4BWS0ZfwkJqTUp,Who I Am,Contact Details,phone-number,Enter your home phone number:,,patients_home_phone_number,FALSE,,FALSE,,,,
FkgyaGzXHRGLPEum3PgK,Who I Am,Contact Details,radio,What is your primary preference for your hospital team to contact you?,Email,patient_has_preferred_contact_method-email,FALSE,,FALSE,,,,
FkgyaGzXHRGLPEum3PgK,Who I Am,Contact Details,radio,What is your primary preference for your hospital team to contact you?,Letter,patient_has_preferred_contact_method-letter,FALSE,,FALSE,,,,
FkgyaGzXHRGLPEum3PgK,Who I Am,Contact Details,radio,What is your primary preference for your hospital team to contact you?,Home Phone Call,patient_has_preferred_contact_method-home_telephone_call,FALSE,,FALSE,,,,
FkgyaGzXHRGLPEum3PgK,Who I Am,Contact Details,radio,What is your primary preference for your hospital team to contact you?,Mobile Phone Call,patient_has_preferred_contact_method-mobile_phone_call,FALSE,,FALSE,,,,
FkgyaGzXHRGLPEum3PgK,Who I Am,Contact Details,radio,What is your primary preference for your hospital team to contact you?,Text Message,patient_has_preferred_contact_method-text_message,FALSE,,FALSE,,,,
HISOANUcrGJOSS3RrN4j,Who I Am,Contact Details,radio,What is your secondary preference for your hospital team to contact you?,Email,patient_has_second_preferred_contact_method-email,FALSE,,FALSE,,,,
HISOANUcrGJOSS3RrN4j,Who I Am,Contact Details,radio,What is your secondary preference for your hospital team to contact you?,Letter,patient_has_second_preferred_contact_method-letter,FALSE,,FALSE,,,,
HISOANUcrGJOSS3RrN4j,Who I Am,Contact Details,radio,What is your secondary preference for your hospital team to contact you?,Home Phone Call,patient_has_second_preferred_contact_method-home,FALSE,,FALSE,,,,
HISOANUcrGJOSS3RrN4j,Who I Am,Contact Details,radio,What is your secondary preference for your hospital team to contact you?,Mobile Phone Call,patient_has_second_preferred_contact_method-mobile,FALSE,,FALSE,,,,
HISOANUcrGJOSS3RrN4j,Who I Am,Contact Details,radio,What is your secondary preference for your hospital team to contact you?,Text Message,patient_has_second_preferred_contact_method-text,FALSE,,FALSE,,,,
qZnS8B4po3KXwOg0VMdE,Who I Am,Status,radio,Select which best suits your circumstances,Single,patient_has_marital_status-single,FALSE,,FALSE,,,,
qZnS8B4po3KXwOg0VMdE,Who I Am,Status,radio,Select which best suits your circumstances,Married,patient_has_marital_status-married,FALSE,,FALSE,,,,
qZnS8B4po3KXwOg0VMdE,Who I Am,Status,radio,Select which best suits your circumstances,Civil Partnership,patient_has_marital_status-civil_partnership,FALSE,,FALSE,,,,
qZnS8B4po3KXwOg0VMdE,Who I Am,Status,radio,Select which best suits your circumstances,Widow/Widower,patient_has_marital_status-widow_or_widower,FALSE,,FALSE,,,,
qZnS8B4po3KXwOg0VMdE,Who I Am,Status,radio,Select which best suits your circumstances,Other,patient_has_marital_status-other,FALSE,,FALSE,,,,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Asian,patient_has_ethnicity-asian,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Black/African/Caribbean,patient_has_ethnicity-black_african_caribbean,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Chinese,patient_has_ethnicity-chinese,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Mixed/Multiple Ethnicity,patient_has_ethnicity-mixed_or_multiple,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Other,patient_has_ethnicity-other,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,White,patient_has_ethnicity-white,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
flGRxszZ0UjZEh3pRoH7,Who I Am,Status,radio,Which ethnic group do you belong to?,Prefer not to say,patient_has_ethnicity-prefer_not_to_disclose,TRUE,,TRUE,contentBlock,Ethnic Group,<p>Some conditions that are important to know about for your anaesthetic only in occur in particular ethnic groups.</p>,
B9hjt1CBdXa8IrY56O0G,Who I Am,Sickle Cell,radio,Are you of Afro-Caribbean  Afro-American or from West/Central African descent?,No,patient_has_ethnic_descent-not_afrocaribbean_afroamerican_westcentral_african,FALSE,(patient_has_ethnicity-black_african_caribbean=true) OR(patient_has_ethnicity-prefer_not_to_disclose=true),TRUE,contentBlock,Afro-Caribbean descent,"<p><br>I am asking this because sickle cell disease can occur in people from these regions. <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/Conditions/sickle-cell-anaemia/Pages/introduction.aspx"">Click here for more information about sickle cell disease</a></p>""",
B9hjt1CBdXa8IrY56O0G,Who I Am,Sickle Cell,radio,Are you of Afro-Caribbean  Afro-American or from West/Central African descent?,Yes,patient_has_ethnic_descent-afrocaribbean_afroamerican_westcentral_african,FALSE,(patient_has_ethnicity-black_african_caribbean=true) OR(patient_has_ethnicity-prefer_not_to_disclose=true),TRUE,contentBlock,Afro-Caribbean descent,"<p><br>I am asking this because sickle cell disease can occur in people from these regions. <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/Conditions/sickle-cell-anaemia/Pages/introduction.aspx"">Click here for more information about sickle cell disease</a></p>""",
PBUckEeYoRdRqtwC3SeN,Who I Am,Sickle Cell,radio,Do you or any member of your family have sickle cell disease?,No,patient_has_family_history-no_sickle_cell_disease,TRUE,(patient_has_ethnic_descent-afrocaribbean_afroamerican_westcentral_african=true) OR(patient_has_ethnicity-prefer_not_to_disclose=true),TRUE,webLink,Sickle cell disease,https://api-bridge.azurewebsites.net/conditions/index.php?p=sickle-cell-disease&index=1,
PBUckEeYoRdRqtwC3SeN,Who I Am,Sickle Cell,radio,Do you or any member of your family have sickle cell disease?,Yes,patient_has_family_history-sickle_cell_disease,TRUE,(patient_has_ethnic_descent-afrocaribbean_afroamerican_westcentral_african=true) OR(patient_has_ethnicity-prefer_not_to_disclose=true),TRUE,webLink,Sickle cell disease,https://api-bridge.azurewebsites.net/conditions/index.php?p=sickle-cell-disease&index=1,
PBUckEeYoRdRqtwC3SeN,Who I Am,Sickle Cell,radio,Do you or any member of your family have sickle cell disease?,Don't Know,patient_has_family_history-unknown_sickle_cell_disease,TRUE,(patient_has_ethnic_descent-afrocaribbean_afroamerican_westcentral_african=true) OR(patient_has_ethnicity-prefer_not_to_disclose=true),TRUE,webLink,Sickle cell disease,https://api-bridge.azurewebsites.net/conditions/index.php?p=sickle-cell-disease&index=1,
tderASefAAwQLEaKz03p,Who I Am,Next of Kin,text-paragraph,,,,FALSE,,FALSE,,,,
jUTlF8W5nXWDryUZRrUs,Who I Am,Next of Kin,text-field,Forename,,patients_next_of_kin-first_name,FALSE,,FALSE,,,,
GRYncKAJ21ibvyzx07kr,Who I Am,Next of Kin,text-field,Surname,,patients_next_of_kin-surname,FALSE,,FALSE,,,,
SQymicDU8D8YAj5j49rc,Who I Am,Next of Kin,text-field,Relationship,,patients_next_of_kin-relationship,FALSE,,FALSE,,,,
g5d1RswoK7Qxne3NswJh,Who I Am,Next of Kin,radio,Is your next of kin address the same as your address?,No,patients_next_of_kin-not_same_address,FALSE,,FALSE,,,,
g5d1RswoK7Qxne3NswJh,Who I Am,Next of Kin,radio,Is your next of kin address the same as your address?,Yes,patients_next_of_kin-same_address,FALSE,,FALSE,,,,
jPDBsaUkc1SXDxAbP0Bt,Who I Am,Next of Kin,text-area,Enter your next of kin's address:,,patients_next_of_kin-address,FALSE,(patients_next_of_kin-not_same_address=true),FALSE,,,,
7Okrl6HmATb1OY8Qoql4,Who I Am,Next of Kin,radio,Is your next of kin's telephone number the same as your own?,No,patients_next_of_kin-not_same_telephone_number,FALSE,,FALSE,,,,
7Okrl6HmATb1OY8Qoql4,Who I Am,Next of Kin,radio,Is your next of kin's telephone number the same as your own?,Yes,patients_next_of_kin-same_telephone_number,FALSE,,FALSE,,,,
w6NVAmKFfcSRhBFeTVPs,Who I Am,Next of Kin,number-input,Enter the telephone number of your next of kin,,patients_next_of_kin-telephone_number,FALSE,(patients_next_of_kin-same_telephone_number=false),FALSE,,,,
lAB9UBNlHBMnBWYYoqUA,Who I Am,Occupation,text-field,What is your occupation?,,patients_occupation,FALSE,,FALSE,,,,
ph8c1nnlsddA88yahEvu,Who I Am,Occupation,radio,Are you a healthcare worker?,No,patient_has_job-not_healthcare_worker,FALSE,,FALSE,,,,
ph8c1nnlsddA88yahEvu,Who I Am,Occupation,radio,Are you a healthcare worker?,Yes,patient_has_job-healthcare_worker,FALSE,,FALSE,,,,
elpaxWzu0xNL63YqiMFY,Who I Am,GP,text-area,Enter your GP practice and the address if you know it:,,patients_gp_details,FALSE,,FALSE,,,,
4lIsheLKgpROzzxssAzy,Who I Am,Allergies,radio,Are you allergic to any drugs or anything else e.g. latex?,No,patient_has_no_allergies,TRUE,,TRUE,contentBlock,Allergies,"<p>An allergy is a reaction the body has to a particular drug, food, or substance, and is very common. Allergies are thought to affect more than 1 in 4 people in the UK at some point in their lives. <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/conditions/allergies/"">Click here for more information about allergies</a></p>""",
4lIsheLKgpROzzxssAzy,Who I Am,Allergies,radio,Are you allergic to any drugs or anything else e.g. latex?,Yes,patient_has_allergies,TRUE,,TRUE,contentBlock,Allergies,"<p>An allergy is a reaction the body has to a particular drug, food, or substance, and is very common. Allergies are thought to affect more than 1 in 4 people in the UK at some point in their lives. <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/conditions/allergies/"">Click here for more information about allergies</a></p>""",
SYR90i9WniHIvZLSuUba,Who I Am,Allergies,allergy-list,,,patients_allergy_list,FALSE,(patient_has_allergies=true),TRUE,webLink,Help entering allergies,https://support.ultramed.co/adding-allergies-2/,
Y3niBeAG6fTyrnEy4f3h,Who I Am,Allergies,radio,If you have an allergy that causes anaphylaxis  do you have an adrenaline auto-injection (eg an Epipen)?,No,patient_takes_medication-no_epipen,FALSE,(patient_has_allergies=true),FALSE,,,,
Y3niBeAG6fTyrnEy4f3h,Who I Am,Allergies,radio,If you have an allergy that causes anaphylaxis  do you have an adrenaline auto-injection (eg an Epipen)?,Yes,patient_takes_medication-epipen,FALSE,(patient_has_allergies=true),FALSE,,,,
TGiXMcQrHhAXRkv0lKc2,Who I Am,Additional Information,radio,Do you want to add anything else and/or ask any questions related to this section?,No,patient_has_additional_info-who_i_am-no,FALSE,,FALSE,,,,
TGiXMcQrHhAXRkv0lKc2,Who I Am,Additional Information,radio,Do you want to add anything else and/or ask any questions related to this section?,Yes,patient_has_additional_info-who_i_am-yes,FALSE,,FALSE,,,,
fPEvkpBVZRhN3H1pvUnU,Who I Am,Additional Information,text-area,Add any other information and/or ask questions below:,,patient_has_additional_info-who_i_am,FALSE,(patient_has_additional_info-who_i_am-yes=true),FALSE,,,,
q0Eeh3blPx9LjKFVEhXG,Who I Am,Additional Information,text-paragraph,,,,FALSE,,FALSE,,,,
iQLOHslIeTL4C6hk,How I Live,Introduction,text-paragraph,,,,FALSE,,FALSE,,,,
n1rbXxKcYf4DXCN5,How I Live,Introduction,radio,Do you live alone?,No,patient_lives_not_alone,TRUE,,FALSE,,,,
n1rbXxKcYf4DXCN5,How I Live,Introduction,radio,Do you live alone?,Yes,patient_lives_alone,TRUE,,FALSE,,,,
SAcd0NEDRVvrdffX,How I Live,Introduction,radio,Will the person you live with be there with you on your FIRST night at home and is able to look after you?,No,patient_lives_not_alone-first_night_care_problem$,FALSE,(patient_lives_alone=false),FALSE,,,,
SAcd0NEDRVvrdffX,How I Live,Introduction,radio,Will the person you live with be there with you on your FIRST night at home and is able to look after you?,Yes,patient_lives_not_alone-no_first_night_care_problem,FALSE,(patient_lives_alone=false),FALSE,,,,
QYS3vPSpP07pMItC,How I Live,Introduction,radio,Can you confirm that when discharged from hospital somebody will be with you on your FIRST night back at home who is able to look after you?,No,patient_lives_alone-first_night_care_problem$,FALSE,(patient_lives_alone=true),FALSE,,,,
QYS3vPSpP07pMItC,How I Live,Introduction,radio,Can you confirm that when discharged from hospital somebody will be with you on your FIRST night back at home who is able to look after you?,Yes,patient_lives_alone-no_first_night_care_problem,FALSE,(patient_lives_alone=true),FALSE,,,,
KeOQpeXdAEzNbW9S,How I Live,Introduction,radio,Will you be able to find somebody to spend the FIRST night with you  who is able to look after you?,No,patient_lives_alone-cannot_find_first_night_care$,FALSE,(patient_lives_alone=true) AND(patient_lives_alone-first_night_care_problem$=true),FALSE,,,,
KeOQpeXdAEzNbW9S,How I Live,Introduction,radio,Will you be able to find somebody to spend the FIRST night with you  who is able to look after you?,Yes,patient_lives_alone-can_find_first_night_care,FALSE,(patient_lives_alone=true) AND(patient_lives_alone-first_night_care_problem$=true),FALSE,,,,
9RUmTSzxjwbt7wSe,How I Live,Introduction,radio,Will you have somebody that can take you home after your operation? You should not go home by public transport.,No,patient_has_no_transport_home,TRUE,,FALSE,,,,
9RUmTSzxjwbt7wSe,How I Live,Introduction,radio,Will you have somebody that can take you home after your operation? You should not go home by public transport.,Yes,patient_has_transport_home$,TRUE,,FALSE,,,,
hqirfug8W2eoBzKV,How I Live,Introduction,radio,Do you think you will be able to find somebody to take you home?,No,patient_has_no_transport-cannot_find_transport$,FALSE,(patient_has_transport_home$=false),FALSE,,,,
hqirfug8W2eoBzKV,How I Live,Introduction,radio,Do you think you will be able to find somebody to take you home?,Yes,patient_has_no_transport-can_find_transport,FALSE,(patient_has_transport_home$=false),FALSE,,,,
gHoqtCOLphNSB3yX,How I Live,Introduction,radio,Do you regularly receive care in your home to help you live there?,No,patient_has_no_care_at_home,FALSE,,FALSE,,,,
gHoqtCOLphNSB3yX,How I Live,Introduction,radio,Do you regularly receive care in your home to help you live there?,Yes,patient_has_care_at_home,FALSE,,FALSE,,,,
K8BV0G9J7kcA0N8j,How I Live,Introduction,text-field,What sort of care do you have to help you?,,patient_has_care_at_home-type,FALSE,(patient_has_care_at_home=true),FALSE,,,,
pKZAQPXKPiwMbxL0,How I Live,Care,radio,Do you have a community matron or other person who co-ordinates your care?,No,patient_has_care-no_community_matron,FALSE,(patient_has_care_at_home=true),TRUE,contentBlock,Do you have a community matron or other person who co-ordinates your care?,"<p>This is the person who organises your care e.g. a community matron. Can you tell me their name, and where they work, so that the hospital can work with them to make sure the right care is available for you when you go home.</p>",
pKZAQPXKPiwMbxL0,How I Live,Care,radio,Do you have a community matron or other person who co-ordinates your care?,Yes,patient_has_care-community_matron,FALSE,(patient_has_care_at_home=true),TRUE,contentBlock,Do you have a community matron or other person who co-ordinates your care?,"<p>This is the person who organises your care e.g. a community matron. Can you tell me their name, and where they work, so that the hospital can work with them to make sure the right care is available for you when you go home.</p>",
6tHMNmhMnyhau1BR,How I Live,Care,text-field,Can you enter the name of the person who co-ordinates your care?,,patients_community_matron-name,FALSE,(patient_has_care-community_matron=true) AND(patient_has_care_at_home=true),FALSE,,,,
7PaYpFPFoPxYTONj,How I Live,Care,text-field,What is their job title?,,patients_community_matron-job_title,FALSE,(patient_has_care-community_matron=true) AND(patient_has_care_at_home=true),FALSE,,,,
HILJupFO171YDoCz,How I Live,Care,text-field,Who do they work for?,,patients_community_matron-company,FALSE,(patient_has_care-community_matron=true) AND(patient_has_care_at_home=true),FALSE,,,,
VJCWCoFUzNZy5GVE,How I Live,Care,radio,Can the hospital contact them to plan your care after your operation or procedure?,No,patient_has_no_consent-contact_community_matron_care_plan,FALSE,(patient_has_care-community_matron=true) AND(patient_has_care_at_home=true),FALSE,,,,
VJCWCoFUzNZy5GVE,How I Live,Care,radio,Can the hospital contact them to plan your care after your operation or procedure?,Yes,patient_has_consent-contact_community_matron_care_plan,FALSE,(patient_has_care-community_matron=true) AND(patient_has_care_at_home=true),FALSE,,,,
44cor5yU6gMlcsbz,How I Live,Mobility,radio,How mobile are you?,Fully mobile,patient_has_mobility-full,FALSE,,FALSE,,,,
44cor5yU6gMlcsbz,How I Live,Mobility,radio,How mobile are you?,Limited mobility but not using walking aids,patient_has_mobility-limited,FALSE,,FALSE,,,,
44cor5yU6gMlcsbz,How I Live,Mobility,radio,How mobile are you?,Significantly restricted mobility and using walking aids,patient_has_mobility-significantly_restricted,FALSE,,FALSE,,,,
44cor5yU6gMlcsbz,How I Live,Mobility,radio,How mobile are you?,Very immobile and limited to a bed or chair,patient_has_mobility-immobile_limited_to_bed_or_chair,FALSE,,FALSE,,,,
FPOkAUIJzP5kzLTZ,How I Live,Mobility,radio,Are you able to get up from a chair of knee height without using your arms?,No,patient_has_no_ability-get_out_of_chair_without_using_arms,FALSE,(patient_has_mobility-full=false),FALSE,,,,
FPOkAUIJzP5kzLTZ,How I Live,Mobility,radio,Are you able to get up from a chair of knee height without using your arms?,Yes,patient_has_ability-get_out_of_chair_without_using_arms,FALSE,(patient_has_mobility-full=false),FALSE,,,,
slzJlWLPr7qjI8rt,How I Live,Mobility,radio,Have you had any falls in the last 12 months?,No,patient_has_not_fallen-in_last_12_months,FALSE,,TRUE,contentBlock,Falls,"<p>Falls are a common, but often overlooked, cause of injury. For more information about falls, <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/conditions/falls/"">click here</a></p><p></p>""",
slzJlWLPr7qjI8rt,How I Live,Mobility,radio,Have you had any falls in the last 12 months?,Yes,patient_has_fallen-in_last_12_months,FALSE,,TRUE,contentBlock,Falls,"<p>Falls are a common, but often overlooked, cause of injury. For more information about falls, <a target=_blank"" rel=""noopener noreferrer nofollow"" href=""https://www.nhs.uk/conditions/falls/"">click here</a></p><p></p>""",
t5H5YMaE9MPwotZNLj0v,How I Live,Mobility,number-input,How many falls have you had in the last 12 months?,,patients_number_of_falls-in_last_12_months,FALSE,(patient_has_fallen-in_last_12_months=true),FALSE,,,,
qdFelgQSL2MTR2y6HdB4,How I Live,Mobility,date,Approximately when was your last fall?,,patients_falls-date_of_last,FALSE,(patient_has_fallen-in_last_12_months=true),FALSE,,,,
Q6An4KfWTVtycrbX0J67,How I Live,Mobility,radio,What time of day did you fall?,Morning,patient_has_fallen-morning,FALSE,(patient_has_fallen-in_last_12_months=true),FALSE,,,,
Q6An4KfWTVtycrbX0J67,How I Live,Mobility,radio,What time of day did you fall?,Afternoon,patient_has_fallen-afternoon,FALSE,(patient_has_fallen-in_last_12_months=true),FALSE,,,,
Q6An4KfWTVtycrbX0J67,How I Live,Mobility,radio,What time of day did you fall?,Night,patient_has_fallen-night,FALSE,(patient_has_fallen-in_last_12_months=true),FALSE,,,,
FJJK5qVkeXKiwS7M,How I Live,Mobility,radio,Do you have any problems with your balance?,No,patient_has_no_problem-balance,FALSE,,FALSE,,,,
FJJK5qVkeXKiwS7M,How I Live,Mobility,radio,Do you have any problems with your balance?,Yes,patient_has_problem-balance,FALSE,,FALSE,,,,
qKrfptkXFtjNbhjX,How I Live,Mobility,radio,Are you worried about falling over?,No,patient_has_no_worry-falling,FALSE,,TRUE,webLink,Are you worried about falling over?,https://api-bridge.azurewebsites.net/conditions/index.php?p=falls&index=1,
qKrfptkXFtjNbhjX,How I Live,Mobility,radio,Are you worried about falling over?,Yes,patient_has_worry-falling,FALSE,,TRUE,webLink,Are you worried about falling over?,https://api-bridge.azurewebsites.net/conditions/index.php?p=falls&index=1,
EaS4U9C3QVFTykqg,How I Live,Religion,radio,Would you like to record your religion?,No,patient_has_no_consent-record_religion,FALSE,,FALSE,,,,
EaS4U9C3QVFTykqg,How I Live,Religion,radio,Would you like to record your religion?,Yes,patient_has_consent-record_religion,FALSE,,FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,No Religion,patient_has_religion-none,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Buddhism,patient_has_religion-buddhism,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Christianity,patient_has_religion-christian,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Hinduism,patient_has_religion-hinduism,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Islam,patient_has_religion-islam,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Jehovah's Witness,patient_has_religion-jehovahs_witness,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Judaism,patient_has_religion-judaism,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Sikhism,patient_has_religion-sikhism,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
mBRL8hutv3ty94xu,How I Live,Religion,radio,Select religion,Other,patient_has_religion-other,FALSE,(patient_has_consent-record_religion=true),FALSE,,,,
9KBJZr7EUl6A43Rh,How I Live,Religion,text-field,What is your religion?,,patients_religion,FALSE,(patient_has_religion-other=true),FALSE,,,,
